TITLE;CLIENT;IMAGE;EMBED;INFO;SIZE
Pacifier;;pacifier.jpg;"<iframe src=""https://player.vimeo.com/video/98174992?autoplay=1&color=92948e&title=0&byline=0&portrait=0"" width=""640"" height=""360"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>";;full
Prankfather;IKEA;prank.jpg;"<iframe src=""https://player.vimeo.com/video/299854482?autoplay=1&color=92948e&title=0&byline=0&portrait=0"" width=""640"" height=""360"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>";;half
Senior Love;Nykredit;senior.jpg;"<iframe src=""https://player.vimeo.com/video/129779139?autoplay=1&color=92948e&title=0&byline=0&portrait=0"" width=""640"" height=""360"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>";;half
Flight Mechanic;Danish Defence;flight.jpg;"<iframe src=""https://player.vimeo.com/video/78943070?autoplay=1&color=92948e&title=0&byline=0&portrait=0"" width=""640"" height=""360"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>";;half
Samy;IKEA;samy.jpg;"<iframe src=""https://player.vimeo.com/video/332339942?autoplay=1&color=92948e&title=0&byline=0&portrait=0"" width=""640"" height=""360"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>";;half
Hello Sam;TCTU;sam.jpg;"<iframe src=""https://player.vimeo.com/video/123628920?autoplay=1&color=92948e&title=0&byline=0&portrait=0"" width=""640"" height=""360"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>";;full
Billy;IKEA;billy.jpg;"<iframe src=""https://player.vimeo.com/video/307039260?autoplay=1&color=92948e&title=0&byline=0&portrait=0"" width=""640"" height=""360"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>";;half
Achievers;Standard Chartered Bank;ufo.jpg;"<iframe src=""https://player.vimeo.com/video/114954187?autoplay=1&color=92948e&title=0&byline=0&portrait=0"" width=""640"" height=""360"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>";;half
King of Fake News;Dear Leader;leader.jpg;"<iframe src=""https://player.vimeo.com/video/249064934?autoplay=1&color=92948e&title=0&byline=0&portrait=0"" width=""640"" height=""360"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>";;half
The Engineers;Engineer the Future;future.jpg;"<iframe src=""https://player.vimeo.com/video/118141419?autoplay=1&color=92948e&title=0&byline=0&portrait=0"" width=""640"" height=""360"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>";;half
Fiber optic;ORANGE;orange.jpg;"<iframe src=""https://player.vimeo.com/video/215729756?autoplay=1&color=92948e&title=0&byline=0&portrait=0"" width=""640"" height=""360"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>";;full
Change;Royal Bank of Canada;change.jpg;"<iframe src=""https://player.vimeo.com/video/215719286?autoplay=1&color=92948e&title=0&byline=0&portrait=0"" width=""640"" height=""360"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>";;half
Sleep like a baby;IKEA;baby.jpg;"<iframe src=""https://player.vimeo.com/video/202025729?autoplay=1&color=92948e&title=0&byline=0&portrait=0"" width=""640"" height=""360"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>";;half
Better together;SWIPP;swipp.jpg;"<iframe src=""https://player.vimeo.com/video/163738387?autoplay=1&color=92948e&title=0&byline=0&portrait=0"" width=""640"" height=""360"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>";;half
Generations;Standard Chartered Bank;generation.jpg;"<iframe src=""https://player.vimeo.com/video/112581023?autoplay=1&color=92948e&title=0&byline=0&portrait=0"" width=""640"" height=""360"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>";;half
Spinning Bottle;Tuborg;tuborg.jpg;"<iframe src=""https://player.vimeo.com/video/79028640?autoplay=1&color=92948e&title=0&byline=0&portrait=0"" width=""640"" height=""360"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>";;full
People Power;General Electric;power.jpg;"<iframe src=""https://player.vimeo.com/video/78943601?autoplay=1&color=92948e&title=0&byline=0&portrait=0"" width=""640"" height=""360"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>";;half
Sirius;Danish Defence;sirius.jpg;"<iframe src=""https://player.vimeo.com/video/78943466?autoplay=1&color=92948e&title=0&byline=0&portrait=0"" width=""640"" height=""360"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>";;half
